# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	26693
#@/user_id	fec832ee-97fb-4052-a286-c15cd5b4de4d
a 	啊	c=168 d=1.65468 t=26693
hen li jie 	很理解	c=1 d=1 t=25060
hen liu chang 	很流暢	c=1 d=1 t=13368
hen man 	很慢	c=1 d=1 t=19032
hen nan 	很難	c=0 d=0.1 t=5855
hen nan gu ji 	很難估計	c=1 d=1 t=5856
hen nao huo 	很惱火	c=1 d=1 t=3370
hen qing chu 	很清楚	c=0 d=0.1 t=2683
hen qing chu me 	很清楚麼	c=1 d=1 t=2684
hen rong yi 	很容易	c=1 d=1 t=1704
hen shao 	很少	c=2 d=1 t=25748
hen shen qi 	很神奇	c=1 d=1 t=16643
hen shuang 	很爽	c=1 d=1 t=1092
hen xiang 	很香	c=0 d=0.1 t=23920
hen xiang le 	很香了	c=1 d=1 t=23921
hen yi han 	很遺憾	c=2 d=1.33622 t=12016
hen yu kuai de 	很愉快的	c=1 d=1 t=12962
hen zheng chang 	很正常	c=2 d=1.00475 t=2365
heng 	哼	c=1 d=1 t=26411
heng liu 	橫流	c=1 d=1 t=9015
hong 	宏	c=3 d=2.42008 t=3744
hong 	紅	c=3 d=1.89146 t=5274
hong bao 	紅包	c=1 d=1 t=1558
hong de 	紅的	c=3 d=1 t=8693
hong feng 	紅楓	c=0 d=0.1 t=989
hong feng ling 	紅楓嶺	c=3 d=1.00019 t=2842
hong huang 	洪荒	c=1 d=1 t=8867
hong jun 	紅軍	c=3 d=1 t=19877
hong lan 	紅藍	c=2 d=1.00807 t=9380
hong le 	紅了	c=1 d=1 t=2984
hong lou meng 	紅樓夢	c=2 d=1.90484 t=19812
hong ma 	紅碼	c=2 d=1.00013 t=3105
hong se 	紅色	c=1 d=1 t=4294
hong si jun 	紅四軍	c=1 d=1 t=13941
hong tang 	紅糖	c=7 d=6.04051 t=24368
hong tang ci ba 	紅糖糍粑	c=1 d=1 t=24324
hong wei 	宏偉	c=0 d=0.1 t=15571
hong wei mu biao 	宏偉目標	c=1 d=1 t=15572
hong xian 	紅線	c=1 d=1 t=21984
hong zhen peng 	洪振鵬	c=1 d=1 t=6182
hong zhuan 	紅磚	c=1 d=0.100143 t=18972
hong zhuan fang 	紅磚房	c=1 d=1 t=18973
hou 	後	c=13 d=0.467666 t=26693
hou ban duan 	後半段	c=1 d=1 t=1077
hou chu 	後廚	c=1 d=1 t=16166
hou duan 	後端	c=2 d=1.96079 t=17604
hou gong 	後宮	c=2 d=1.91393 t=25548
hou guo zi fu 	後果自負	c=1 d=1 t=19265
hou ji 	後繼	c=2 d=1.80686 t=5013
hou mian 	後面	c=23 d=0.472367 t=26693
hou mian yi ge 	後面一個	c=1 d=1 t=18328
hou pai 	後排	c=1 d=1 t=25595
hou qi 	後期	c=1 d=1 t=13899
hou tai 	後臺	c=1 d=0.1 t=13417
hou tai yun xing 	後臺運行	c=1 d=1 t=13418
hou xu 	後序	c=0 d=0.1 t=4729
hou xu 	後續	c=1 d=0.1 t=7412
hou xu bian li 	後序遍歷	c=1 d=1 t=4730
hou xuan 	候選	c=0 d=0.0826959 t=26693
hou xuan ci 	候選詞	c=1 d=0.831104 t=26693
hou xuan ci 	後選詞	c=1 d=0.826959 t=26693
hou yi tian 	後一天	c=1 d=1 t=22760
hou zhe 	後者	c=1 d=1 t=4954
hou zhi 	厚植	c=1 d=1 t=15876
hou zhui 	後綴	c=1 d=1 t=17976
hu 	狐	c=0 d=0.1 t=8605
hu 	糊	c=1 d=1 t=10256
hu 	胡	c=3 d=1 t=25905
hu dang 	護襠	c=1 d=1 t=12483
hu fu 	護符	c=2 d=2.05304 t=10433
hu fu 	護膚	c=1 d=1 t=10421
hu fu xiao guo 	護符效果	c=1 d=1 t=10428
hu jin tao 	胡錦濤	c=2 d=1.45612 t=15503
hu le 	糊了	c=1 d=1 t=4474
hu li 	狐狸	c=9 d=2.06407 t=25606
hu lu 	葫蘆	c=2 d=1.97531 t=16201
hu lve 	忽略	c=1 d=1 t=7964
hu niang 	虎娘	c=1 d=1 t=18461
hu shi ren 	狐詩人	c=2 d=1.6942 t=8679
hu shuo 	胡說	c=2 d=1 t=22967
hu tong 	互通	c=1 d=1 t=23636
hu tong 	衚衕	c=1 d=1 t=23635
hu wai 	戶外	c=1 d=1 t=19714
hu xiang 	互相	c=2 d=1 t=18904
hua 	化	c=7 d=1.00638 t=21545
hua 	畫	c=2 d=1 t=22318
hua 	話	c=4 d=1.00001 t=22794
hua bei 	花唄	c=2 d=1 t=18355
hua bu 	畫布	c=1 d=1 t=4796
hua di 	華迪	c=1 d=1 t=18176
hua fen wei 	劃分爲	c=1 d=1 t=20139
hua feng 	畫風	c=0 d=0.1 t=25130
hua hua 	畫畫	c=0 d=0.1 t=11906
hua jie 	劃界	c=0 d=0.1 t=20489
hua jie xian 	劃界限	c=1 d=1 t=20490
hua le 	畫了	c=1 d=1 t=18436
hua le 	花了	c=2 d=1 t=24438
hua ming 	花名	c=0 d=0.1 t=19536
hua po 	滑坡	c=1 d=1 t=10095
hua shi 	畫師	c=1 d=0.375311 t=26693
hua shuo 	話說	c=16 d=2.13688 t=25805
hua ti 	話題	c=1 d=1 t=5642
hua xue 	化學	c=1 d=1 t=10416
hua xue jia 	化學家	c=2 d=1.98511 t=852
hua yuan 	花園	c=1 d=1 t=19740
hua zhi 	畫質	c=2 d=1.85214 t=13350
huai biao 	懷錶	c=2 d=1.95123 t=2312
huai dong xi 	壞東西	c=1 d=1 t=22778
huai huai 	壞壞	c=2 d=0.377192 t=26693
huai le 	壞了	c=0 d=0.1 t=18406
huai long 	壞龍	c=1 d=1 t=26005
huai yi 	懷疑	c=2 d=1 t=26145
huan 	幻	c=1 d=1 t=2709
huan 	換	c=8 d=1.14227 t=25991
huan 	環	c=2 d=1.06079 t=9738
huan bei 	換備	c=1 d=1 t=11592
huan cheng 	換成	c=1 d=1 t=26693
huan cheng le 	換成了	c=1 d=1 t=8348
huan cun 	緩存	c=2 d=1 t=13417
huan de 	換的	c=2 d=1 t=16282
huan diao 	換掉	c=1 d=1 t=487
huan guang 	幻光	c=1 d=1.099 t=1131
huan guang pan 	幻光盤	c=1 d=1 t=1130
huan hao 	換號	c=1 d=1 t=26354
huan jie 	環節	c=2 d=1 t=21015
huan jing 	環境	c=10 d=1.7566 t=19296
huan jing xia 	環境下	c=0 d=0.1 t=6134
huan jing you hao 	環境友好	c=0 d=0.1 t=15723
huan jing you hao xing 	環境友好型	c=1 d=1 t=15724
huan ju hua shuo 	換句話說	c=1 d=1 t=26397
huan ka 	換卡	c=1 d=1 t=9121
huan le 	換了	c=3 d=1 t=26692
huan le 	歡樂	c=1 d=1 t=896
huan le ge 	換了個	c=2 d=1 t=17241
huan le sha 	換了啥	c=1 d=1 t=14891
huan suan 	換算	c=1 d=1 t=670
huan tai 	換臺	c=0 d=0.1 t=2354
huan tai dian nao 	換臺電腦	c=1 d=1 t=2355
huan wan 	還完	c=1 d=1 t=2285
huan wang 	幻網	c=1 d=1 t=19105
huan wo 	還我	c=1 d=1 t=23500
huan ying 	歡迎	c=2 d=1 t=19215
huan zhe 	患者	c=1 d=1 t=22909
huang 	慌	c=0 d=0.1 t=25926
huang 	皇	c=0 d=0.1 t=6495
huang 	黃	c=1 d=1 t=23759
huang guan 	皇冠	c=0 d=0.1 t=454
huang hou 	皇后	c=5 d=3.48786 t=23022
huang le 	黃了	c=0 d=0.1 t=1917
huang ma 	黃碼	c=2 d=1.95123 t=1311
huang se 	黃色	c=2 d=1 t=18312
huang sha 	慌啥	c=1 d=1 t=25924
huang shang 	皇上	c=2 d=1.97531 t=23045
huang ye 	荒野	c=1 d=1 t=1075
huang you 	黃油	c=1 d=1 t=5741
huang zhi 	黃智	c=1 d=1 t=24840
hui 	匯	c=1 d=1 t=4841
hui 	回	c=1 d=1 t=24177
hui 	會	c=35 d=1.05223 t=26650
hui 	繪	c=1 d=1 t=19102
hui ben 	回本	c=2 d=1.9802 t=4431
hui bu hui 	會不會	c=2 d=1 t=9587
hui che 	回車	c=1 d=1 t=10828
hui da 	回答	c=2 d=0.1 t=15538
hui da le 	回答了	c=1 d=1 t=15539
hui da ma jiang 	會打麻將	c=1 d=1 t=16909
hui dian 	匯點	c=3 d=2.6138 t=5211
hui dong 	會動	c=1 d=1 t=22309
hui fang 	回訪	c=1 d=1 t=17293
hui fu 	回覆	c=0 d=0.1 t=24202
hui fu le 	恢復了	c=1 d=1 t=14798
hui fu su du 	回覆速度	c=1 d=1 t=24203
hui gu 	回顧	c=1 d=1 t=21411
hui gui 	回歸	c=1 d=1 t=20640
hui he 	回合	c=4 d=1 t=19684
hui he zhi 	回合製	c=1 d=1 t=1120
hui hou 	會後	c=1 d=1 t=14058
hui hua 	回話	c=1 d=1 t=3120
hui hui 	回回	c=1 d=1 t=25826
hui hui 	輝輝	c=1 d=1 t=19517
hui ji 	惠及	c=1 d=1 t=15174
hui jia 	回家	c=1 d=1 t=22769
hui jia zhu su 	回家住宿	c=1 d=1 t=998
hui lai 	回來	c=3 d=1 t=26187
hui lai le 	回來了	c=1 d=1 t=13282
hui le 	回了	c=0 d=0.1 t=22939
hui le 	會了	c=1 d=1 t=25798
hui le me 	回了麼	c=1 d=1 t=22940
hui lv 	匯率	c=2 d=1.9802 t=675
hui qi 	晦氣	c=1 d=1 t=17439
hui qu 	回去	c=1 d=0.1 t=17889
hui qu yi hou 	回去以後	c=1 d=1 t=17890
hui se de 	灰色的	c=1 d=1 t=4289
hui sheng 	回升	c=1 d=1 t=24002
hui shi 	會是	c=0 d=0.1 t=16313
hui shou 	回手	c=1 d=1 t=10897
hui shou 	揮手	c=2 d=1 t=25330
hui si 	會死	c=0 d=0.1 t=25290
hui si de 	會死的	c=1 d=1 t=25291
hui su 	回溯	c=1 d=1 t=7063
hui tui 	會推	c=1 d=1 t=26140
hui xian 	回顯	c=1 d=1 t=10836
hui xiang qi 	回想起	c=1 d=1 t=12152
hui xue 	回血	c=2 d=1.60957 t=4433
hui xue xiao 	回學校	c=1 d=1 t=1056
hui yi 	回憶	c=2 d=1 t=8934
hui yi 	會議	c=11 d=1 t=21206
hui yi chu 	會溢出	c=1 d=1 t=1981
hui ying 	回應	c=1 d=1 t=19755
hui you 	會有	c=4 d=0.1 t=23847
hui you bing du 	會有病毒	c=1 d=1 t=23848
hui yuan 	會員	c=4 d=1 t=16729
hui zhang 	徽章	c=2 d=1.9802 t=2760
hun 	混	c=0 d=0.1 t=3250
hun 	魂	c=1 d=1 t=20042
hun hun 	混混	c=1 d=1 t=25272
hun li 	婚禮	c=1 d=1 t=23578
hun quan 	混圈	c=1 d=1 t=11478
hun shen 	渾身	c=2 d=1.86936 t=1665
hun yi 	混一	c=0 d=0.1 t=25762
hun yi ge 	混一個	c=1 d=1 t=25763
hun yi se 	混一色	c=1 d=1 t=3251
hun yin 	婚姻	c=1 d=1 t=5756
hun za 	混雜	c=1 d=1 t=9761
huo 	或	c=6 d=1 t=24755
huo 	活	c=1 d=1 t=22157
huo 	火	c=8 d=0.708161 t=26693
huo 	貨	c=1 d=1 t=17342
huo bi 	貨幣	c=1 d=1 t=20339
huo dao 	火刀	c=1 d=1 t=3875
huo de 	獲得	c=2 d=1 t=19244
huo de le 	獲得了	c=1 d=1 t=23796
huo dong 	活動	c=22 d=0.400517 t=26693
huo guo 	火鍋	c=2 d=1 t=12712
huo guo dian 	火鍋店	c=2 d=1 t=24265
huo guo lai 	活過來	c=1 d=1 t=17730
huo hu 	火狐	c=0 d=0.1 t=13746
huo hua de 	霍華德	c=1 d=1 t=718
huo huo huo huo 	火火火火	c=1 d=1 t=16147
huo jian tong 	火箭筒	c=1 d=1.04649 t=12181
huo jiang 	獲獎	c=0 d=0.1 t=22234
huo lang 	火狼	c=4 d=1.72617 t=18633
huo le 	活了	c=1 d=1 t=24220
huo le ge 	活了個	c=1 d=1 t=884
huo li 	活力	c=2 d=1.09827 t=20996
huo lian ji 	或連擊	c=1 d=1 t=13521
huo long 	火龍	c=3 d=1.00003 t=3580
huo long guo 	火龍果	c=3 d=0.327915 t=26693
huo mi gong 	火迷宮	c=2 d=1.17907 t=739
huo nai 	火奶	c=1 d=1 t=25630
huo ren 	活人	c=1 d=1 t=17715
huo rong 	火絨	c=1 d=1 t=26199
huo shu 	火鼠	c=1 d=1 t=12505
huo ti chu 	或提出	c=1 d=1 t=8048
huo tui chang 	火腿腸	c=1 d=1 t=18285
huo xu 	或許	c=2 d=1 t=19347
huo yong 	活用	c=1 d=1 t=25570
huo yue 	活躍	c=0 d=0.1 t=16171
huo yue de 	活躍的	c=2 d=1.99005 t=5779
huo zang chang 	火葬場	c=1 d=1 t=8060
huo zhe 	或者	c=22 d=1 t=25799
huo zhen huo jia 	或真或假	c=1 d=1 t=19146
ji 	即	c=5 d=1.00784 t=15709
ji 	及	c=2 d=1.50158 t=21378
ji 	基	c=1 d=1 t=24837
ji 	季	c=6 d=0.741557 t=19205
ji 	寄	c=2 d=1.0133 t=26132
ji 	幾	c=2 d=1 t=19826
ji 	技	c=0 d=0.1 t=6880
ji 	既	c=2 d=1.00375 t=15748
ji 	極	c=1 d=0.100801 t=9416
ji 	級	c=5 d=0.606531 t=26693
ji 	繼	c=0 d=0.1 t=7607
ji 	計	c=0 d=0.1 t=23821
ji 	記	c=4 d=1 t=26116
ji 	跡	c=1 d=1 t=6883
ji 	集	c=3 d=0.21982 t=17830
ji 	雞	c=2 d=0.366045 t=26693
ji an 	技安	c=1 d=1 t=9258
ji bai nian 	幾百年	c=2 d=1 t=24807
ji bao 	幾包	c=1 d=1 t=6898
ji bao 	擠爆	c=0 d=0.1 t=17131
ji bao le 	擠爆了	c=1 d=1 t=17132
ji ben 	基本	c=39 d=1 t=26351
ji ben cao zuo 	基本操作	c=1 d=1 t=4645
ji ben dian 	基本點	c=2 d=1 t=21770
ji ben gang ling 	基本綱領	c=1 d=1 t=15100
ji ben jing yan 	基本經驗	c=2 d=1.20291 t=15476
ji ben lu xian 	基本路線	c=1 d=1 t=14978
ji ben mao dun 	基本矛盾	c=1 d=1 t=20350
ji ben shang 	基本上	c=2 d=1 t=19807
ji ben shi 	基本是	c=1 d=1 t=7582
ji ben shi xian 	基本實現	c=1 d=1 t=16040
ji ben tu jing 	基本途徑	c=1 d=1 t=21771
ji ben wen ti 	基本問題	c=1 d=1 t=7354
ji ben xing shi 	基本形式	c=1 d=1 t=20264
ji ben yao qiu 	基本要求	c=1 d=1 t=15686
ji ben yuan li 	基本原理	c=3 d=1.1159 t=20551
ji bu 	幾部	c=1 d=1 t=1064
ji bu 	記不	c=0 d=0.1 t=24054
ji bu tai qing 	記不太清	c=1 d=1 t=24055
ji bu zhu 	記不住	c=2 d=0.1 t=26165
ji ceng gan bu 	基層幹部	c=1 d=1 t=15219
ji chang 	機場	c=1 d=1 t=12669
ji chou 	記仇	c=1 d=1 t=23672
ji chu 	基礎	c=7 d=1 t=25207
ji chu jiao xue 	基礎教學	c=1 d=1 t=10354
ji chu shang 	基礎上	c=9 d=1 t=25628
ji ci 	幾次	c=1 d=1 t=4278
ji cuo 	寄錯	c=0 d=0.1 t=5806
ji cuo 	記錯	c=1 d=1 t=16614
ji cuo le 	記錯了	c=1 d=0.1 t=19115
ji cuo le di zhi 	寄錯了地址	c=1 d=1 t=5807
ji da 	極大	c=0 d=0.1 t=21680
ji da cu jin le 	極大促進了	c=1 d=1 t=21681
ji dao 	幾道	c=0 d=0.1 t=19988
ji de 	記得	c=4 d=1 t=22742
ji dian 	幾點	c=1 d=1 t=12831
ji duan 	極端	c=1 d=1 t=21066
ji er 	雞兒	c=1 d=1 t=22298
ji fan le 	記反了	c=1 d=1 t=6527
ji fen 	幾份	c=2 d=1.04736 t=25217
ji fen 	積分	c=2 d=1 t=25218
ji fen zhong 	幾分鐘	c=1 d=1 t=829
ji ge 	及格	c=3 d=1 t=23538
ji ge 	幾個	c=1 d=1.09324 t=1216
ji ge 	雞哥	c=1 d=1 t=12393
ji ge bie 	極個別	c=1 d=0.190139 t=26693
ji ge ren 	幾個人	c=1 d=1 t=16229
ji ge xian 	及格線	c=1 d=1 t=23559
ji gong 	技工	c=2 d=1 t=22826
ji gou 	機構	c=3 d=0.766977 t=26380
ji guo 	記過	c=1 d=1 t=11039
ji guo qu 	寄過去	c=1 d=1 t=1190
ji he 	集合	c=1 d=1 t=5329
ji hua 	激化	c=1 d=0.100012 t=23347
ji hua 	計劃	c=3 d=1 t=26254
ji hua jing ji 	計劃經濟	c=1 d=1 t=15302
ji hua jing ji ti zhi 	計劃經濟體制	c=1 d=1 t=15029
ji hua sheng chan 	計劃生產	c=1 d=1 t=14709
ji hui 	機會	c=2 d=1 t=25907
ji hui zhu yi 	機會主義	c=1 d=1 t=13903
ji ji 	唧唧	c=1 d=1 t=8070
ji jie 	集結	c=1 d=1 t=18229
ji jin 	激進	c=1 d=1 t=25873
ji ke 	即刻	c=3 d=1.00002 t=24543
ji ke 	即可	c=1 d=1 t=16533
ji ke jia ru 	即刻加入	c=1 d=1 t=22859
ji le 	寄了	c=1 d=1 t=26677
ji le 	記了	c=1 d=1 t=11051
ji lei 	積累	c=1 d=1 t=9046
ji lei 	雞肋	c=2 d=1.70117 t=22698
ji lu 	記錄	c=11 d=0.100717 t=26556
ji lv 	紀律	c=3 d=2.90362 t=15971
ji mu 	吉姆	c=6 d=1.91393 t=23886
ji neng 	技能	c=8 d=1.30728 t=22812
ji neng hao le 	技能好了	c=1 d=1 t=489
ji nian pin 	紀念品	c=2 d=1.98511 t=5436
ji pi ge da 	雞皮疙瘩	c=1 d=1 t=13065
ji pin 	祭品	c=2 d=1.97531 t=6436
ji qi 	及其	c=2 d=1.00049 t=17196
ji qi 	機器	c=0 d=0.1 t=16815
ji qi ren 	機器人	c=3 d=1 t=16380
ji qi wei ji 	及其危急	c=1 d=1 t=14094
ji qi xue xi 	機器學習	c=2 d=1.8825 t=16841
ji qiang 	極強	c=1 d=1 t=11173
ji ran 	既然	c=3 d=1.00758 t=23829
ji shang 	技傷	c=3 d=1 t=22582
ji shi gan 	既視感	c=1 d=1 t=13068
ji shi nian 	幾十年	c=1 d=1 t=885
ji shi wan 	幾十萬	c=1 d=1 t=16294
ji shu 	基數	c=1 d=0.1 t=22602
ji shu 	技術	c=5 d=1 t=26322
ji shu qun 	基數羣	c=2 d=1.86071 t=22633
ji shu qun 	技術羣	c=1 d=1 t=22634
ji shu qun le 	技術羣了	c=1 d=1 t=22631
ji shu sha 	技術啥	c=1 d=1 t=22658
ji shu zhan 	技術棧	c=2 d=1.88692 t=22705
ji suan 	計算	c=4 d=0.100046 t=7599
ji suan ji 	計算機	c=5 d=1.00063 t=25445
ji suan qi 	計算器	c=1 d=1 t=17957
ji ti 	集體	c=2 d=0.1 t=21637
ji ti jing ying 	集體經營	c=1 d=1 t=14700
ji ti zhi hui 	集體指揮	c=1 d=1 t=21638
ji tian 	幾天	c=2 d=1 t=16255
ji tuan 	集團	c=0 d=0.1 t=13961
ji wang 	計網	c=3 d=1.12108 t=25239
ji wei 	即爲	c=1 d=1 t=5788
ji xia lai 	記下來	c=1 d=1 t=11004
ji xian 	極限	c=1 d=1 t=25216
ji xiang wu 	吉祥物	c=1 d=1 t=23744
ji xu 	繼續	c=4 d=1 t=23748
ji xu de 	繼續地	c=2 d=1.94649 t=14461
ji xu qian jin 	繼續前進	c=1 d=1 t=15556
ji yin 	基因	c=1 d=1 t=20315
ji yong 	即用	c=0 d=0.1 t=3778
ji yu 	基於	c=5 d=1 t=22180
ji yu 	機遇	c=0 d=0.1 t=15170
ji yu qi 	機遇期	c=1 d=1 t=15171
ji yuan 	妓院	c=1 d=1 t=25223
ji yuan 	計院	c=3 d=1.13582 t=25981
ji zhang 	幾張	c=0 d=0.1 t=4261
ji zhe 	記者	c=1 d=1 t=18333
ji zhi 	機制	c=2 d=1 t=21063
ji zhong 	集中	c=1 d=0.176919 t=14545
ji zhong dao 	集中到	c=1 d=1 t=21417
ji zhong li liang 	集中力量	c=3 d=1.09902 t=15172
ji zhong zhi 	集中制	c=1 d=1 t=14672
ji zhu 	記住	c=2 d=1.84366 t=11017
ji zu 	機組	c=1 d=1 t=25244
jia 	假	c=4 d=2.15708 t=25410
jia 	價	c=2 d=0.102968 t=13169
jia 	加	c=6 d=1 t=23390
jia 	夾	c=1 d=1 t=6561
jia 	家	c=5 d=1.61269 t=17741
jia 	架	c=0 d=0.0289384 t=26693
jia ban 	加班	c=1 d=1 t=23749
jia dian 	加點	c=1 d=1 t=19270
jia fen 	加分	c=1 d=1 t=9655
jia ge 	價格	c=2 d=1 t=22956
jia ge 	加個	c=1 d=1 t=4397
jia hao 	加號	c=1 d=1 t=7452
jia kuai 	加快	c=3 d=1 t=20494
jia le 	加了	c=1 d=1 t=19480
jia li ren 	家裏人	c=1 d=1 t=23577
jia mi 	加密	c=5 d=1 t=24099
jia ming 	假名	c=2 d=1.98511 t=6053
jia nong pao 	加農炮	c=1 d=1.08564 t=7067
jia qi lai 	加起來	c=1 d=1 t=18358
jia qiang 	加強	c=12 d=1.00164 t=21520
jia re 	加熱	c=1 d=1 t=24332
jia ren 	家人	c=1 d=0.100004 t=26585
jia ren men 	家人們	c=1 d=1 t=26586
jia ru 	加入	c=0 d=0.1 t=22858
jia shang 	加上	c=4 d=1.93239 t=19864
jia shang 	加傷	c=1 d=1 t=1712
jia su 	加速	c=3 d=2.05811 t=12984
jia su qi 	加速器	c=2 d=1 t=26201
jia su qi le 	加速棄了	c=1 d=1 t=12757
jia su qi le me 	加速器了麼	c=1 d=1 t=3956
jia suan 	加算	c=1 d=1 t=19611
jia tang 	加糖	c=1 d=1 t=18399
jia ting 	家庭	c=1 d=1 t=11097
jia wei 	價位	c=1 d=1 t=2428
jia xue 	加血	c=1 d=1 t=6912
jia yu 	駕馭	c=1 d=1 t=15419
jia zhi 	價值	c=2 d=1 t=21215
jia zhi guan 	價值觀	c=1 d=1 t=10020
jia zhi gui lv 	價值規律	c=1 d=1 t=21244
jia zi 	家子	c=0 d=0.1 t=11394
jian 	件	c=0 d=0.1 t=25076
jian 	剪	c=0 d=0.13624 t=11388
jian 	劍	c=1 d=0.734448 t=2781
jian 	漸	c=0 d=0.1 t=10146
jian 	箭	c=1 d=1 t=2785
jian 	見	c=3 d=1.00004 t=18249
jian 	鍵	c=2 d=1 t=26463
jian 	間	c=6 d=1.95123 t=25890
jian bang 	肩膀	c=1 d=1 t=22364
jian bian 	漸變	c=1 d=1 t=22374
jian ce 	檢測	c=4 d=2.12308 t=26678
jian ce bu dao 	檢測不到	c=1 d=1 t=26658
jian ce dao le 	檢測到了	c=1 d=1 t=26614
jian cha 	檢查	c=1 d=1.09139 t=15972
jian cha wei yuan hui 	檢查委員會	c=1 d=1 t=15955
jian cheng 	建成	c=4 d=1 t=21095
jian cheng 	簡稱	c=1 d=1 t=25406
jian chi 	堅持	c=21 d=1.07531 t=24881
jian chi bu xia lai 	堅持不下來	c=1 d=1 t=24882
jian chi zhen li 	堅持真理	c=1 d=1 t=21890
jian dan 	簡單	c=6 d=1.95123 t=25264
jian dan dian 	簡單點	c=1 d=1 t=22421
jian dan lai shuo 	簡單來說	c=4 d=1 t=18042
jian dan wan wan 	簡單玩玩	c=1 d=1 t=13326
jian dang 	建黨	c=1 d=0.1 t=21905
jian dang jing shen 	建黨精神	c=1 d=1 t=21906
jian dao 	見到	c=2 d=1 t=23885
jian ding 	堅定	c=3 d=1 t=21883
jian ding 	鑑定	c=1 d=1 t=15689
jian fang 	減防	c=1 d=1 t=2783
jian guo 	建國	c=7 d=1.00037 t=23836
jian guo 	見過	c=4 d=1 t=23837
jian guo fang an 	建國方案	c=1 d=1 t=20367
jian guo yi lai 	建國以來	c=2 d=1 t=20177
jian hao 	建號	c=1 d=1 t=1197
jian jian 	漸漸	c=0 d=0.1 t=3394
jian jin xian 	漸近線	c=1 d=1 t=7900
jian ju 	間距	c=1 d=0.873716 t=26693
jian jun 	建軍	c=1 d=1 t=13950
jian kang 	健康	c=6 d=2.45541 t=24802
jian kang fa zhan 	健康發展	c=1 d=1 t=15712
jian ku chuang ye 	艱苦創業	c=1 d=1 t=21773
jian ku fen dou 	艱苦奮鬥	c=1 d=1 t=14463
jian kuang 	簡況	c=1 d=1 t=19061
jian li 	建立	c=7 d=1.00852 t=21355
jian li 	簡歷	c=2 d=1.06142 t=20396
jian li qi 	建立起	c=1 d=1 t=21703
jian mao 	鍵帽	c=1 d=1 t=16284
jian mian 	減免	c=1 d=1 t=24907
jian mo 	建模	c=1 d=1 t=26020
jian pan 	鍵盤	c=4 d=1.93707 t=16291
jian pu zhai 	柬埔寨	c=1 d=1 t=1379
jian qiang 	堅強	c=1 d=1 t=20397
jian quan 	健全	c=3 d=1.14256 t=15187
jian rui 	尖銳	c=1 d=1 t=3587
jian ruo 	減弱	c=0 d=0.1 t=7080
jian ruo le 	減弱了	c=1 d=1 t=7081
jian shang 	減傷	c=1 d=1 t=2801
jian shao 	減少	c=2 d=1.04954 t=20516
jian she 	建設	c=39 d=1.83582 t=22019
jian she shi ye 	建設事業	c=1 d=1 t=15026
jian she xiang 	建設巷	c=2 d=1 t=24288
jian she yi ge 	建設一個	c=1 d=1 t=14247
jian shi 	堅實	c=2 d=1.89583 t=20964
jian shi pin 	剪視頻	c=1 d=1 t=11389
jian shi pin de 	剪視頻的	c=1 d=1 t=11186
jian shi xi wang 	漸失希望	c=1 d=1 t=10147
jian shou 	堅守	c=0 d=0.1 t=21890
jian shou li xiang 	堅守理想	c=1 d=1 t=21891
jian suo 	檢索	c=3 d=1.97045 t=10692
jian ta 	踐踏	c=3 d=1.23355 t=9617
jian ti 	簡體	c=4 d=1 t=26693
jian ti zhong wen 	簡體中文	c=0 d=0.1 t=3278
jian ti zhong wen fu 	簡體中文服	c=1 d=1 t=3279
jian tou 	箭頭	c=1 d=1 t=6612
jian wei 	鍵位	c=1 d=1 t=3652
jian wo 	見我	c=1 d=1 t=24319
jian xin 	堅信	c=1 d=1 t=20094
jian xing 	踐行	c=1 d=1 t=21892
jian yi 	建議	c=27 d=1.00456 t=25839
jian yi shi yong 	建議使用	c=1 d=1 t=12429
jian yi yong 	建議用	c=2 d=1 t=23659
jian yu 	監獄	c=1 d=1 t=25138
jian yuan 	漸遠	c=1 d=1 t=2347
jian zhang 	見漲	c=1 d=1 t=24762
jian zhi 	簡直	c=0 d=0.1 t=8898
jian zhi le 	簡直了	c=1 d=1 t=8899
jian zhong 	簡中	c=1 d=1 t=6504
jian zhu 	建築	c=2 d=1 t=21369
jian zhuan 	劍專	c=1 d=1 t=10440
jiang 	將	c=4 d=1.00285 t=15619
jiang 	講	c=2 d=1 t=25801
jiang 	醬	c=2 d=1 t=22348
jiang 	降	c=1 d=1 t=13040
jiang dao li 	講道理	c=8 d=0.970446 t=26693
jiang gao 	講稿	c=1 d=1 t=2190
jiang hua 	僵化	c=1 d=1 t=15754
jiang hua 	講話	c=2 d=0.1 t=15752
jiang hui 	降回	c=1 d=1 t=9087
jiang jiang 	講講	c=1 d=1 t=8645
jiang jie 	講解	c=1 d=1 t=23209
jiang jie shi 	蔣介石	c=1 d=1 t=14361
jiang jiu 	將就	c=0 d=0.1 t=3948
jiang jiu yong 	將就用	c=1 d=1 t=3949
jiang ke 	講課	c=0 d=0.1 t=16870
jiang lai 	將來	c=0 d=0.1 t=7001
jiang lai shi 	將來時	c=1 d=1 t=7002
jiang li 	獎勵	c=1 d=1 t=3475
jiang tang 	薑湯	c=1 d=1 t=24366
jiang xiang 	獎項	c=0 d=0.1 t=22242
jiang zao 	降噪	c=1 d=0.267135 t=26693
jiang ze min 	江澤民	c=1 d=1 t=14990
